"Amazon_Product","Google_Product","Confidence","Reason"
"upg sgms 1000 incremental node","sonicwall gms 1000n-incremental lic upg",0.495,"Fuzzy = 0.65 | TF-IDF = 0.35"
"the human body","topics presents: human body",0.725,"Fuzzy = 0.69 | TF-IDF = 0.76"
"school zone pencil-pal software big phonics (cd-rom & book)","pencil-pal big phonics",0.727,"Fuzzy = 0.66 | TF-IDF = 0.8"
"millie's math house ages 3-7 (win/mac)","millies math house",0.605,"Fuzzy = 0.77 | TF-IDF = 0.44"
"world book encyclopedia 2006","world book 2006",0.817,"Fuzzy = 0.85 | TF-IDF = 0.79"
"musicalis guitar workshop","musicalis universal guitar workshop",0.848,"Fuzzy = 0.83 | TF-IDF = 0.86"
"the printshop 20 professional publisher","printshop 20 pro publisher",0.776,"Fuzzy = 0.73 | TF-IDF = 0.82"
"data protection suite","data protection security suite 2005",0.815,"Fuzzy = 0.83 | TF-IDF = 0.79"
"kids power fun for girls","kids power fun for girls",1,"Fuzzy = 1 | TF-IDF = 1"
"adobe premiere pro cs3 upgrade","adobe premiere pro cs3 upgrade",1,"Fuzzy = 1 | TF-IDF = 1"
"i copy dvds 2 professional edition","i copy dvds 2 ultra edition",0.814,"Fuzzy = 0.81 | TF-IDF = 0.81"
"gen-x media made easy vol. 3","media made easy volume 3",0.675,"Fuzzy = 0.76 | TF-IDF = 0.59"
"family tree maker 11.2 collector's edition","family tree maker 11 collector's edition",0.969,"Fuzzy = 0.94 | TF-IDF = 1"
"adobe fireworks cs3 [mac]","adobe fireworks cs3",0.954,"Fuzzy = 0.94 | TF-IDF = 0.97"
"dinosaurs","topics presents:dinosaurs",0.572,"Fuzzy = 0.47 | TF-IDF = 0.67"
"instant home design 3.0 [lb]","instant home design 3.0",0.981,"Fuzzy = 0.96 | TF-IDF = 1"
"x-oom internet movies 2","x-oom internet movies 2",1,"Fuzzy = 1 | TF-IDF = 1"
"form workshop 1200","form workshop 1200",1,"Fuzzy = 1 | TF-IDF = 1"
"the print shop pro publisher 22 deluxe [dvd]","encore inc print shop 22 pro publisher deluxe",0.784,"Fuzzy = 0.75 | TF-IDF = 0.82"
"stomp inc recover lost data 2005","recover lost data",0.743,"Fuzzy = 0.7 | TF-IDF = 0.79"
"my first bible stories","my first bible stories (jc)",0.98,"Fuzzy = 0.96 | TF-IDF = 1"
"the big mix (mac)","the big mix",0.942,"Fuzzy = 0.91 | TF-IDF = 0.97"
"x-oom movie clone 3 gold","xoom movie clone 3 gold",0.759,"Fuzzy = 0.86 | TF-IDF = 0.65"
"the print shop 22 deluxe","the print shop(r) 22",0.899,"Fuzzy = 0.88 | TF-IDF = 0.92"
"imsi turbocad designer v.11","imsi turbocad designer 11",0.988,"Fuzzy = 0.98 | TF-IDF = 1"
"lavasoft ad-aware plus edition","lavasoft ad-aware plus edition",1,"Fuzzy = 1 | TF-IDF = 1"
"clip art and more 250 000 (jewel case)","clipart & more 250000 (jc)",0.486,"Fuzzy = 0.77 | TF-IDF = 0.2"
"instant immersion language lab deluxe edition","instant immersion language lab deluxe edition",1,"Fuzzy = 1 | TF-IDF = 1"
"elementary school success deluxe 2006","elementary school success deluxe 2006",1,"Fuzzy = 1 | TF-IDF = 1"
"national geographic presents: redshift planetarium","national geographic redshift planetarium",0.893,"Fuzzy = 0.88 | TF-IDF = 0.91"
"math success deluxe 2006","math success deluxe 2006",1,"Fuzzy = 1 | TF-IDF = 1"
"national geographic presents: forces of nature","national geographic: forces of nature",0.889,"Fuzzy = 0.86 | TF-IDF = 0.91"
"reference success deluxe 2006","topics entertainment reference success deluxe 2006",0.778,"Fuzzy = 0.73 | TF-IDF = 0.83"
"clifford the big red dog - thinking adventures","clifford the big red dog - thinking adventures",1,"Fuzzy = 1 | TF-IDF = 1"
"mastercook deluxe low carb","mastercook deluxe low carb edition",0.95,"Fuzzy = 0.92 | TF-IDF = 0.98"
"instant home design (jewel case)","instant home design 1 (jc)",0.811,"Fuzzy = 0.89 | TF-IDF = 0.73"
"boomerang webshop platinum","elibrium webshop platinum",0.673,"Fuzzy = 0.8 | TF-IDF = 0.55"
"allume boost xp for windows","boost xp",0.715,"Fuzzy = 0.66 | TF-IDF = 0.77"
"jumpstart learning games phonics (pc & mac)","jumpstart phonics (jc)",0.748,"Fuzzy = 0.74 | TF-IDF = 0.75"
"kids power fun for little ones","kids power fun for little ones",1,"Fuzzy = 1 | TF-IDF = 1"
"museums of the world","topics presents: museums of world",0.676,"Fuzzy = 0.63 | TF-IDF = 0.72"
"matchbox cross-town heroes","matchbox cross town heros",0.871,"Fuzzy = 0.99 | TF-IDF = 0.76"
"studyworks! teaching pro: middle school math & science (win/mac)","middle school math & science",0.68,"Fuzzy = 0.69 | TF-IDF = 0.67"
"trudy's time and place house ages 3-6","trudys time & place house",0.68,"Fuzzy = 0.78 | TF-IDF = 0.58"
"personal image manager","personal imagemanager",0.669,"Fuzzy = 0.98 | TF-IDF = 0.35"
"stomp inc drive washer","drive washer 2005",0.646,"Fuzzy = 0.63 | TF-IDF = 0.66"
"movies on psp","movies on psp",1,"Fuzzy = 1 | TF-IDF = 1"
"kids power fun for kids","kids power fun for kids",1,"Fuzzy = 1 | TF-IDF = 1"
"custom landdesigner 3d design 7.0","custom land designer 3d 7.0",0.634,"Fuzzy = 0.87 | TF-IDF = 0.4"
"freddi fish 2: the haunted schoolhouse","freddi fish 2 - case of haunted schl hse",0.701,"Fuzzy = 0.82 | TF-IDF = 0.58"
"netgear vpn01l vpn client software","prosafe vpn client software single user - netgear inc. - vpn01l",0.718,"Fuzzy = 0.67 | TF-IDF = 0.77"
"mom standard ops mgmt lic 2005 english mlp 5 oml","mom standard ops mgmt lic 2005 english mlp 5 oml",1,"Fuzzy = 1 | TF-IDF = 1"
"eastwest bsendorfer 290 grand piano virtual instrument","east west bosendorfer 290",0.442,"Fuzzy = 0.68 | TF-IDF = 0.2"
"diskeepeer 2007 admin upgrade sngl lic pack","sp linux we 50 lic/cd 3.0c",0.404,"Fuzzy = 0.58 | TF-IDF = 0.23"
"monarch v9.0 1u .","monarch std (v9.0) retail box - datawatch - fpm32c090-a01",0.517,"Fuzzy = 0.64 | TF-IDF = 0.39"
"midway arcade treasures (jewel case)","encore inc 28453 midway arcade treasures win 98 me 2000 xp",0.663,"Fuzzy = 0.65 | TF-IDF = 0.68"
"snap! 10 000 drink recipies (jewel case)","10000 drink recipe - snap",0.575,"Fuzzy = 0.72 | TF-IDF = 0.43"
"mac os x server v10.4.7 10-client","apple apple mac os x server 10 4 7 10 client",0.618,"Fuzzy = 0.75 | TF-IDF = 0.48"
"epson storyteller photo book creator - 8 x 10 (20 pages)","epson s041886 epson - epson storyteller photo book creator - w/ 8in x 10in book with 20 pages - complete package - 1 user - std - win",0.711,"Fuzzy = 0.68 | TF-IDF = 0.75"
"adobe acrobat capture 3.0 ( 22101258 )","22101258 adobe acrobat capture - ( v. 3.0 ) - license - 1 user 20000 pages - win - engli",0.647,"Fuzzy = 0.66 | TF-IDF = 0.63"
"age of mythology (mac)","destineer inc 10307 - age of mythology (mac 8.6-9.x (classic) x v10.1 or higher)",0.591,"Fuzzy = 0.6 | TF-IDF = 0.58"
